species,X,Y,bio3,bio4,bio7,bio11,bio12
GuloGulo_PA2_RUN1,-91.5,82.000007823,12.230770111084,15473.69140625,478.615356445312,-385.307708740234,87.5384902954102
GuloGulo_PA2_RUN1,-88.5,82.000007823,11.6470603942871,15987.763671875,487.294097900391,-391.352905273438,95.6469573974609
GuloGulo_PA2_RUN1,-85.5,82.000007823,11.2499990463257,16186.333984375,489.541687011719,-396.625,103.749954223633
GuloGulo_PA2_RUN1,-82.5,82.000007823,11.1111106872559,15788.0380859375,478.851867675781,-396.111114501953,131.666580200195
GuloGulo_PA2_RUN1,-79.5,82.000007823,11.4333343505859,15299.0673828125,466.133361816406,-389.899993896484,148.399887084961
GuloGulo_PA2_RUN1,-76.5,82.000007823,11.7187538146973,14720.6572265625,450.406280517578,-380.09375,162.124984741211
GuloGulo_PA2_RUN1,-70.5,82.000007823,12.7999982833862,13496.0009765625,416.933349609375,-353.733337402344,187.566589355469
GuloGulo_PA2_RUN1,-67.5,82.000007823,13.79310131073,13105.552734375,412.103454589844,-332.586273193359,159.6552734375
GuloGulo_PA2_RUN1,-64.5,82.000007823,14.5925951004028,13011.1484375,417.074066162109,-324.148132324219,156.296234130859
GuloGulo_PA2_RUN1,-61.5,82.000007823,14.7368421554565,12758.474609375,415.736846923828,-314.684234619141,160.473739624023
GuloGulo_PA2_RUN1,-85.5,79.000007823,12.1764755249023,15548.3525390625,478.794128417969,-367.088165283203,103.82332611084
GuloGulo_PA2_RUN1,-79.5,79.000007823,11.5277767181396,14865.2236328125,458.388916015625,-379.583374023438,198.94450378418
GuloGulo_PA2_RUN1,-73.5,79.000007823,13.5263175964355,13539.1591796875,421.579010009766,-337.842132568359,161.526306152344
GuloGulo_PA2_RUN1,-118.5,76.000007823,11.5454530715942,14185.5908203125,446,-347.727264404297,94.0454483032227
GuloGulo_PA2_RUN1,-115.5,76.000007823,11.6785717010498,14190.0888671875,447.928558349609,-350.160705566406,93.0714416503906
GuloGulo_PA2_RUN1,-109.5,76.000007823,12.5416650772095,14191.25,449.25,-343.666687011719,67.5416793823242
GuloGulo_PA2_RUN1,-106.5,76.000007823,12.7857151031494,13986.357421875,442.964294433594,-338.785736083984,62.2142868041992
GuloGulo_PA2_RUN1,-88.5,76.000007823,13.5862092971802,14417.6552734375,458.448272705078,-337.965515136719,125.689598083496
GuloGulo_PA2_RUN1,-85.5,76.000007823,12.96875,14353.46875,454.375,-340.21875,151.531219482422
GuloGulo_PA2_RUN1,-82.5,76.000007823,12.5277786254883,14278.138671875,452.722229003906,-345.583343505859,190.361068725586
GuloGulo_PA2_RUN1,-79.5,76.000007823,13.3333282470703,14305.646484375,454.583343505859,-340.625,166.5625
GuloGulo_PA2_RUN1,88.5,76.000007823,17,12914.1513671875,434.076843261719,-284.615295410156,232.384536743164
GuloGulo_PA2_RUN1,91.5,76.000007823,17,13364.060546875,452.249938964844,-295.937408447266,243.812423706055
GuloGulo_PA2_RUN1,103.5,76.000007823,18.0555534362793,13194.1943359375,445.972229003906,-302.694427490234,252.555587768555
GuloGulo_PA2_RUN1,109.5,76.000007823,16.1000099182129,14669.794921875,490.799865722656,-333.233306884766,235.366882324219
GuloGulo_PA2_RUN1,112.5,76.000007823,15.2608652114868,15488.34375,515.043334960938,-337.521728515625,199.739379882812
GuloGulo_PA2_RUN1,-124.5,73.000007823,12.6785707473755,13255.5361328125,420.25,-300.5,114.678535461426
GuloGulo_PA2_RUN1,-121.5,73.000007823,12.7777767181396,13253.8330078125,425.708312988281,-307.777770996094,125.513877868652
GuloGulo_PA2_RUN1,-118.5,73.000007823,12.5454568862915,13690.5146484375,442.51513671875,-318.030303955078,129.242431640625
GuloGulo_PA2_RUN1,-115.5,73.000007823,13.1111097335815,13871.5185546875,447.629638671875,-323.037048339844,123.629653930664
GuloGulo_PA2_RUN1,-112.5,73.000007823,12.8260869979858,14028.478515625,447.739135742188,-329.913055419922,102.521743774414
GuloGulo_PA2_RUN1,-109.5,73.000007823,12.9375009536743,14259.25,455.249969482422,-329.25,90.6875076293945
GuloGulo_PA2_RUN1,-106.5,73.000007823,13,14296.2587890625,456.962951660156,-328.777770996094,80.814811706543
GuloGulo_PA2_RUN1,-103.5,73.000007823,13.3999996185303,14255.599609375,457.600006103516,-330,82.3999786376953
GuloGulo_PA2_RUN1,-94.5,73.000007823,14.615385055542,14002.4609375,458.269226074219,-327.192291259766,138.807632446289
GuloGulo_PA2_RUN1,-88.5,73.000007823,14.3076915740967,13824.0009765625,449.923095703125,-315.076904296875,146.615310668945
GuloGulo_PA2_RUN1,-85.5,73.000007823,14.7000007629395,13293.8681640625,435.800018310547,-301.600006103516,160.499877929688
GuloGulo_PA2_RUN1,-82.5,73.000007823,13.4642896652222,13373.0703125,439.499969482422,-313.107086181641,216.107009887695
GuloGulo_PA2_RUN1,-76.5,73.000007823,13.8947343826294,13816.94921875,447.947418212891,-326.894805908203,228.421173095703
GuloGulo_PA2_RUN1,67.5,73.000007823,19,11104.9990234375,385.333312988281,-224,227.666610717773
GuloGulo_PA2_RUN1,76.5,73.000007823,16.4545459747314,11849.1796875,392.363586425781,-249.363616943359,313.908966064453
GuloGulo_PA2_RUN1,82.5,73.000007823,16,12614.330078125,417.958190917969,-263.249969482422,351.416748046875
GuloGulo_PA2_RUN1,85.5,73.000007823,16.2571411132812,13147.99609375,441.885559082031,-270.999969482422,305.000091552734
GuloGulo_PA2_RUN1,88.5,73.000007823,16.6944446563721,13705.69140625,466.416534423828,-280.694396972656,297.416625976562
GuloGulo_PA2_RUN1,91.5,73.000007823,17,14132.9423828125,484.722137451172,-291.694366455078,300.638824462891
GuloGulo_PA2_RUN1,94.5,73.000007823,17,14551.8310546875,500.555450439453,-302.249938964844,301.944396972656
GuloGulo_PA2_RUN1,97.5,73.000007823,17,14951.275390625,514.305480957031,-309.97216796875,288.249938964844
GuloGulo_PA2_RUN1,100.5,73.000007823,16.6944408416748,15322.8310546875,526.111022949219,-313.555511474609,273.555541992188
GuloGulo_PA2_RUN1,103.5,73.000007823,16.3888835906982,15463.6943359375,529.277770996094,-316.638854980469,267.194458007812
GuloGulo_PA2_RUN1,106.5,73.000007823,16.294116973877,15523.8515625,528.588195800781,-321.235260009766,252.500061035156
GuloGulo_PA2_RUN1,112.5,73.000007823,14.7353019714355,16737.673828125,558.705810546875,-339.823486328125,218.117767333984
GuloGulo_PA2_RUN1,115.5,73.000007823,14.0000038146973,17438.3828125,576.884582519531,-353.269165039062,202.961563110352
GuloGulo_PA2_RUN1,121.5,73.000007823,14,17974.720703125,588,-366.722198486328,222.333129882812
GuloGulo_PA2_RUN1,124.5,73.000007823,14.517237663269,17965.89453125,585.551696777344,-370.137878417969,252.275634765625
GuloGulo_PA2_RUN1,127.5,73.000007823,15.2083301544189,18298.58203125,593.833312988281,-376.625,251.292007446289
GuloGulo_PA2_RUN1,130.5,73.000007823,16,18460.103515625,597.800048828125,-379,209.90022277832
