x,y,GuloGulo_PA4_allRun logistic values
-1.5,40.000007823,5.117548E-4
-10.5,16.000007823,8.773047E-5
-100.5,28.000007823,9.1948616E-4
-100.5,49.000007823,0.34785017
-103.5,49.000007823,0.06334811
-103.5,76.000007823,0.17836028
-106.5,34.000007823,2.5536794E-5
-115.5,52.000007823,0.0012812051
-115.5,79.000007823,0.36137605
-124.5,43.000007823,1.19523516E-4
-13.5,13.000007823,2.8188808E-5
-13.5,7.000007823,4.316876E-6
-130.5,52.000007823,3.9571853E-5
-154.5,19.000007823,5.3261724E-6
-157.5,1.000007823,2.514777E-6
-16.5,82.000007823,0.011359142
-160.5,-19.999992177,4.9697605E-6
-169.5,-19.999992177,4.9954606E-6
-172.5,-13.999992177,2.7152605E-6
-172.5,-19.999992177,4.890781E-6
-175.5,52.000007823,1.09876615E-4
-19.5,67.000007823,8.577009E-4
-19.5,73.000007823,0.044422895
-28.5,-19.999992177,1.2963098E-6
-28.5,70.000007823,0.42655525
-28.5,82.000007823,0.11041138
-34.5,-55.999992177,1.3432988E-4
-34.5,-7.999992177,5.248631E-6
-37.5,-4.999992177,4.5093334E-6
-37.5,-7.999992177,7.3960337E-6
-4.5,19.000007823,0.0
-4.5,34.000007823,6.6016096E-4
-4.5,46.000007823,4.486775E-5
-40.5,-13.999992177,6.60666E-6
-43.5,-16.999992177,1.2488642E-5
-43.5,73.000007823,1.8722407E-26
-46.5,67.000007823,0.44260123
-46.5,70.000007823,9.48646E-28
-49.5,-31.999992177,3.216718E-5
-49.5,73.000007823,1.6748153E-27
-49.5,82.000007823,5.160531E-29
-52.5,76.000007823,3.7715557E-26
-52.5,82.000007823,5.830082E-29
-55.5,4.000007823,3.959459E-6
-58.5,-13.999992177,9.147812E-6
-58.5,-52.999992177,1.337203E-5
-61.5,-40.999992177,1.9665029E-4
-64.5,-22.999992177,1.1537437E-4
-64.5,-25.999992177,1.4224276E-4
-67.5,-19.999992177,2.3461993E-8
-67.5,-55.999992177,7.0208225E-5
-70.5,-52.999992177,9.251658E-5
-73.5,-34.999992177,4.8970458E-5
-73.5,-52.999992177,1.4137037E-5
-73.5,22.000007823,8.016094E-6
-76.5,19.000007823,6.539071E-6
-76.5,25.000007823,1.2451002E-5
-79.5,-10.999992177,0.0
-79.5,46.000007823,0.006514713
-79.5,67.000007823,1.531972E-29
-85.5,49.000007823,0.02442536
-88.5,43.000007823,0.0034325286
-91.5,49.000007823,0.07026599
-91.5,61.000007823,0.80672354
-91.5,76.000007823,0.11041714
