X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-91.5,82.000007823,train,6212687.30518696,100.0,0.9999999953029028
-88.5,82.000007823,train,8267478.341728651,100.0,0.9999999964703148
-85.5,82.000007823,train,3880369.9560597544,100.0,0.9999999924796872
-82.5,82.000007823,train,6966311.537508071,100.0,0.9999999958110406
-79.5,82.000007823,train,5066902.095309157,100.0,0.9999999942407422
-76.5,82.000007823,train,0.0015280621418742668,9.749777173770957,0.04975835711502201
-73.5,82.000007823,train,0.003584109374101806,15.253623502210724,0.10938599739616323
-70.5,82.000007823,train,8.073652879388458E-4,5.867367970787327,0.026922082341876475
-67.5,82.000007823,train,2.0383674544121732E-7,6.040116302721651E-4,6.985064178896004E-6
-64.5,82.000007823,train,1.1293449282051214E-6,0.052332990463038645,3.869909032947727E-5
-61.5,82.000007823,train,1.031191404923516E-6,0.049034000222441976,3.5335797373147666E-5
-88.5,79.000007823,train,5960475.574688508,100.0,0.9999999951041497
-85.5,79.000007823,train,6392927.67570202,100.0,0.9999999954353315
-82.5,79.000007823,train,0.2586609151009793,100.0,0.8986195750524745
-79.5,79.000007823,train,0.29993414639611493,100.0,0.9113333325162578
-76.5,79.000007823,train,0.004111667965468799,16.861709477296607,0.12349849377639857
-73.5,79.000007823,train,5.006553693634833E-6,0.11398859248744576,1.7153602124807987E-4
-70.5,79.000007823,train,5.512777276040216E-7,9.902716057434591E-4,1.8890923974662962E-5
-118.5,76.000007823,train,1.87465415273062E-6,0.07164055157489274,6.423684723011807E-5
-115.5,76.000007823,train,1.9159913775392173E-6,0.07271141044517516,6.565321443433368E-5
-112.5,76.000007823,train,1.9521265820948105E-6,0.07364750870786693,6.689133777279398E-5
-109.5,76.000007823,train,1.9436091324586857E-6,0.07342686045348457,6.659949929205216E-5
-106.5,76.000007823,train,7.191109043953931E-6,0.12891773038686422,2.463654618976863E-4
-88.5,76.000007823,train,9.781411759717216E-6,0.14661972472599574,3.350788003911403E-4
-85.5,76.000007823,train,9.163411621317521E-6,0.14239634385048666,3.1391480637701176E-4
-82.5,76.000007823,train,3.554706498737352E-4,2.536717841467861,0.012034730897174746
-79.5,76.000007823,train,2.9899202330427997E-6,0.10020702406833373,1.0244860867887104E-4
88.5,76.000007823,train,0.002564973852925996,13.097338508351308,0.0807953065925873
91.5,76.000007823,train,0.006538562071554278,25.110224336255058,0.18304963935027038
94.5,76.000007823,train,0.007862442366619012,29.271636025558585,0.21224582122365054
97.5,76.000007823,train,0.008592071621384909,31.80600682272601,0.2274619368145213
100.5,76.000007823,train,0.008051514908124028,30.968578710675732,0.21624609626417243
103.5,76.000007823,train,0.005807591751676544,22.9443394094759,0.16598246794540655
