x,y,GuloGulo_PA4_RUN1 logistic values
-1.5,40.000007823,4.4153726E-6
-100.5,28.000007823,1.6465674E-6
-100.5,49.000007823,0.42882663
-103.5,76.000007823,0.17125277
-106.5,34.000007823,1.9340723E-5
-115.5,52.000007823,0.0017494574
-124.5,43.000007823,1.0050903E-6
-13.5,13.000007823,4.818823E-9
-13.5,7.000007823,8.094898E-10
-130.5,52.000007823,1.1637688E-6
-154.5,19.000007823,5.262036E-9
-16.5,82.000007823,0.010434244
-160.5,-19.999992177,3.2878542E-9
-169.5,-19.999992177,3.3533913E-9
-172.5,-13.999992177,2.1643277E-10
-172.5,-19.999992177,2.7216458E-9
-175.5,52.000007823,2.765673E-6
-19.5,67.000007823,1.1284175E-5
-28.5,-19.999992177,6.339428E-9
-28.5,70.000007823,0.36627302
-28.5,82.000007823,0.39439234
-34.5,-55.999992177,1.9144957E-6
-37.5,-7.999992177,2.9247462E-9
-4.5,19.000007823,0.0
-4.5,34.000007823,2.2817273E-6
-4.5,46.000007823,7.604315E-7
-40.5,-13.999992177,3.728893E-9
-43.5,-16.999992177,5.4664593E-9
-46.5,67.000007823,0.099502094
-46.5,70.000007823,0.0
-49.5,82.000007823,0.0
-55.5,4.000007823,4.119511E-10
-58.5,-13.999992177,1.7912271E-9
-58.5,-52.999992177,3.9379884E-7
-61.5,-40.999992177,9.96629E-7
-64.5,-25.999992177,2.1748332E-7
-67.5,-19.999992177,5.335515E-10
-70.5,-52.999992177,6.1994086E-7
-73.5,-52.999992177,4.1708967E-7
-73.5,22.000007823,5.467136E-9
-76.5,19.000007823,2.0946727E-9
-76.5,25.000007823,1.7676465E-8
-79.5,-10.999992177,0.0
-79.5,46.000007823,0.010288791
-79.5,67.000007823,0.04237254
-85.5,49.000007823,0.03550709
-88.5,43.000007823,0.0033404287
-91.5,49.000007823,0.3189758
-91.5,61.000007823,0.7903024
-91.5,76.000007823,0.021729354
-94.5,34.000007823,1.9724175E-5
-94.5,37.000007823,9.479555E-5
-94.5,40.000007823,0.0024198059
-94.5,46.000007823,0.22321288
-94.5,76.000007823,0.14217709
-97.5,25.000007823,2.721065E-7
-97.5,28.000007823,1.3172923E-6
-97.5,31.000007823,6.4034807E-6
-97.5,76.000007823,0.04493357
10.5,1.000007823,9.622193E-10
10.5,28.000007823,0.0
100.5,16.000007823,6.82928E-9
100.5,22.000007823,7.550053E-8
100.5,4.000007823,1.7541484E-10
103.5,28.000007823,2.9874843E-6
106.5,22.000007823,4.977689E-7
109.5,28.000007823,2.1620432E-5
112.5,-1.999992177,1.489525E-10
112.5,34.000007823,4.1551932E-4
118.5,-19.999992177,7.948875E-8
118.5,-7.999992177,6.130589E-10
118.5,28.000007823,1.3658304E-5
118.5,31.000007823,5.808824E-4
124.5,-13.999992177,4.392486E-9
124.5,37.000007823,0.004798058
13.5,-10.999992177,7.0683903E-9
13.5,31.000007823,0.0
130.5,-13.999992177,8.031625E-9
133.5,4.000007823,9.1235755E-11
142.5,-7.999992177,5.879131E-10
145.5,-43.999992177,2.1450774E-7
148.5,-1.999992177,8.865084E-11
148.5,-19.999992177,5.5164353E-8
148.5,7.000007823,8.218487E-11
148.5,76.000007823,0.49239993
16.5,25.000007823,0.0
16.5,49.000007823,5.9592337E-5
16.5,76.000007823,9.584039E-4
169.5,-19.999992177,9.364127E-9
172.5,7.000007823,5.884664E-11
178.5,61.000007823,0.30466828
19.5,-1.999992177,2.3430607E-10
19.5,-10.999992177,5.7543024E-9
19.5,10.000007823,2.5298474E-9
19.5,31.000007823,4.9612E-10
22.5,-31.999992177,7.265026E-10
22.5,4.000007823,5.805361E-10
22.5,7.000007823,2.1596815E-9
25.5,-22.999992177,1.5156994E-7
25.5,-34.999992177,4.514135E-8
25.5,37.000007823,1.5274278E-6
25.5,7.000007823,1.2477624E-9
28.5,52.000007823,7.0161966E-4
28.5,79.000007823,5.7921757E-4
31.5,13.000007823,5.515739E-9
31.5,19.000007823,0.0
31.5,22.000007823,0.0
31.5,25.000007823,0.0
31.5,37.000007823,1.0808007E-5
31.5,58.000007823,0.0128325075
37.5,4.000007823,8.247316E-10
4.5,13.000007823,6.4841115E-9
4.5,25.000007823,0.0
4.5,34.000007823,1.0526334E-8
4.5,4.000007823,5.861525E-10
40.5,10.000007823,6.122241E-9
40.5,13.000007823,5.13994E-9
40.5,25.000007823,0.0
40.5,28.000007823,0.0
43.5,52.000007823,0.1327869
46.5,13.000007823,0.0
46.5,25.000007823,5.2778043E-10
46.5,82.000007823,0.006180767
49.5,-13.999992177,3.4913388E-9
49.5,37.000007823,2.8035422E-5
49.5,40.000007823,3.4764053E-5
49.5,55.000007823,0.22852165
52.5,13.000007823,0.0
52.5,55.000007823,0.29918227
52.5,79.000007823,0.018028554
52.5,82.000007823,0.014840656
55.5,37.000007823,5.7469354E-8
76.5,16.000007823,9.562864E-9
76.5,40.000007823,1.5860673E-5
79.5,16.000007823,2.2598867E-8
88.5,22.000007823,8.801188E-8
91.5,13.000007823,1.5512144E-9
94.5,25.000007823,1.2405073E-7
97.5,34.000007823,9.459796E-4
97.5,46.000007823,0.13810357
