x,y,GuloGulo_PA2_allRun logistic values
-1.5,10.000007823,1.8953842E-4
-1.5,19.000007823,0.0
-1.5,37.000007823,7.733238E-4
-1.5,52.000007823,5.95754E-4
-1.5,61.000007823,4.9315306E-4
-10.5,16.000007823,3.292426E-4
-10.5,19.000007823,0.0
-10.5,22.000007823,0.0
-10.5,28.000007823,0.0
-10.5,4.000007823,7.857469E-5
-100.5,16.000007823,1.0935007E-4
-100.5,19.000007823,2.0596426E-4
-100.5,31.000007823,0.0012516165
-100.5,52.000007823,0.4130475
-103.5,34.000007823,0.0015574186
-103.5,37.000007823,0.0021370472
-103.5,49.000007823,0.114060745
-103.5,52.000007823,0.25671616
-103.5,79.000007823,0.16965629
-106.5,25.000007823,3.4666248E-4
-106.5,28.000007823,6.7654904E-4
-106.5,40.000007823,0.012175552
-106.5,52.000007823,0.12284832
-106.5,79.000007823,0.04749979
-109.5,19.000007823,2.506918E-4
-109.5,22.000007823,2.3472526E-4
-109.5,25.000007823,2.8296805E-4
-109.5,28.000007823,5.6082226E-4
-109.5,46.000007823,0.014433953
-109.5,49.000007823,0.056260016
-109.5,52.000007823,0.10767865
-112.5,37.000007823,0.0013495915
-112.5,46.000007823,0.0125801135
-112.5,52.000007823,0.07551444
-112.5,79.000007823,0.047354326
-115.5,34.000007823,9.3983393E-4
-115.5,49.000007823,0.011148879
-118.5,37.000007823,0.0011928328
-121.5,34.000007823,2.7721695E-4
-124.5,40.000007823,4.5763663E-4
-124.5,46.000007823,4.627941E-4
-13.5,10.000007823,2.1259784E-4
-13.5,64.000007823,0.0031438207
-154.5,19.000007823,1.1928236E-4
-16.5,13.000007823,2.2834339E-4
-16.5,25.000007823,0.0
-16.5,64.000007823,0.0033114583
-16.5,76.000007823,0.07295034
-160.5,-19.999992177,1.6122985E-4
-166.5,52.000007823,7.406131E-4
-169.5,52.000007823,6.7793677E-4
-172.5,-1.999992177,5.5105185E-5
-172.5,25.000007823,2.7984646E-4
-175.5,-22.999992177,2.1077669E-4
-178.5,52.000007823,5.8327575E-4
-19.5,64.000007823,0.003494806
-22.5,73.000007823,0.05065139
-22.5,79.000007823,0.12712744
-25.5,37.000007823,4.0325298E-4
-25.5,73.000007823,0.048412632
-25.5,82.000007823,0.0
-28.5,-19.999992177,0.002687823
-28.5,40.000007823,4.5159666E-4
-28.5,70.000007823,0.0320974
-28.5,73.000007823,0.048245277
-28.5,76.000007823,0.121857256
-28.5,79.000007823,0.15497509
-31.5,82.000007823,0.13563794
-34.5,73.000007823,0.11085644
-34.5,76.000007823,0.13528249
-34.5,79.000007823,0.2228257
-37.5,-52.999992177,0.00200648
-37.5,67.000007823,0.06120287
-4.5,22.000007823,0.0
-4.5,28.000007823,0.0
-4.5,49.000007823,4.977694E-4
-4.5,52.000007823,5.776676E-4
-4.5,55.000007823,5.2154314E-4
-40.5,-10.999992177,1.3107539E-4
-40.5,-16.999992177,1.5612337E-4
-43.5,-13.999992177,1.44244E-4
-43.5,-19.999992177,1.9013089E-4
-43.5,-22.999992177,2.1473573E-4
-43.5,70.000007823,0.10956528
-43.5,82.000007823,0.14313339
-46.5,-10.999992177,1.5133034E-4
-46.5,-13.999992177,1.4194763E-4
-46.5,-16.999992177,1.5449537E-4
-46.5,-22.999992177,2.1419994E-4
-46.5,-4.999992177,1.0971051E-4
-49.5,-1.999992177,6.8014E-5
-49.5,-28.999992177,3.147915E-4
-49.5,-31.999992177,3.9562196E-4
-49.5,4.000007823,1.0838764E-4
-49.5,70.000007823,0.10716078
-49.5,76.000007823,0.16381392
-49.5,79.000007823,0.2618184
-52.5,-13.999992177,1.6396993E-4
-52.5,-4.999992177,8.9519715E-5
-52.5,1.000007823,9.2628994E-5
-52.5,46.000007823,0.0066626435
-52.5,64.000007823,0.029861573
-52.5,7.000007823,9.4686744E-5
-52.5,82.000007823,0.15578072
-55.5,-19.999992177,1.7688061E-4
-55.5,-28.999992177,3.9227976E-4
-55.5,-31.999992177,4.7146127E-4
-55.5,-34.999992177,4.645043E-4
-55.5,-7.999992177,1.663761E-4
-55.5,46.000007823,0.0071592405
-55.5,49.000007823,0.0110865915
-55.5,7.000007823,9.2831644E-5
-55.5,70.000007823,0.07576157
-55.5,76.000007823,0.15496734
-58.5,-13.999992177,1.5699066E-4
-58.5,-4.999992177,1.0731741E-4
-58.5,-49.999992177,2.620614E-4
-61.5,-16.999992177,1.7973788E-4
-61.5,-34.999992177,6.0211576E-4
-61.5,16.000007823,1.2411624E-4
-61.5,4.000007823,7.1067574E-5
-61.5,64.000007823,0.1278641
-64.5,-10.999992177,1.3212454E-4
-64.5,-13.999992177,1.5827222E-4
-64.5,-19.999992177,2.5146143E-4
-64.5,-22.999992177,4.080305E-4
-64.5,-28.999992177,6.28733E-4
-64.5,-31.999992177,5.446928E-4
-64.5,1.000007823,5.9951482E-5
-64.5,31.000007823,4.892231E-4
-64.5,4.000007823,7.0627335E-5
-67.5,-49.999992177,3.2494674E-4
-67.5,-7.999992177,9.560421E-5
-67.5,1.000007823,6.473903E-5
-67.5,4.000007823,9.1239664E-5
-67.5,7.000007823,1.2588513E-4
-67.5,76.000007823,0.12479695
-67.5,79.000007823,0.14176983
-7.5,13.000007823,3.3018435E-4
-7.5,19.000007823,0.0
-7.5,37.000007823,6.343914E-4
-7.5,55.000007823,4.419666E-4
-7.5,58.000007823,4.6744582E-4
-70.5,-1.999992177,6.884749E-5
-70.5,-31.999992177,2.3333105E-4
-70.5,-37.999992177,4.6017882E-4
-70.5,-4.999992177,7.5124146E-5
-70.5,-43.999992177,4.4495414E-4
-70.5,-49.999992177,3.3198617E-4
-70.5,-52.999992177,3.1517624E-4
-70.5,13.000007823,1.1026715E-4
-70.5,22.000007823,1.7929748E-4
-73.5,-1.999992177,7.4515265E-5
-73.5,-16.999992177,0.0
-73.5,-4.999992177,8.016984E-5
-73.5,-40.999992177,2.950038E-4
-73.5,1.000007823,9.883336E-5
-73.5,10.000007823,8.838723E-5
-73.5,13.000007823,1.0992171E-4
-73.5,19.000007823,1.2811509E-4
-73.5,49.000007823,0.19694275
-76.5,-46.999992177,2.680732E-4
-76.5,-49.999992177,2.7610193E-4
-76.5,22.000007823,1.8418964E-4
-79.5,-10.999992177,0.0
-79.5,-34.999992177,2.2633813E-4
-79.5,-4.999992177,9.578694E-5
