x,y,GuloGulo_PA3_RUN1 logistic values
-1.5,13.000007823,0.0020979508
-1.5,4.000007823,0.0017404531
-1.5,55.000007823,0.0023781387
-1.5,7.000007823,0.001782264
-10.5,13.000007823,0.0020738307
-10.5,19.000007823,5.834426E-4
-10.5,28.000007823,5.2011793E-4
-10.5,40.000007823,0.0021103562
-10.5,43.000007823,0.0020308003
-100.5,22.000007823,0.0022308787
-103.5,25.000007823,0.0018091877
-103.5,28.000007823,0.0022967309
-103.5,46.000007823,0.027834909
-106.5,22.000007823,0.002070686
-106.5,52.000007823,0.080957085
-109.5,28.000007823,0.0031699573
-112.5,40.000007823,0.007505684
-115.5,31.000007823,0.0020176016
-115.5,49.000007823,0.007880627
-124.5,40.000007823,0.00271619
-13.5,13.000007823,0.0020641712
-13.5,16.000007823,0.0015328631
-13.5,19.000007823,5.215647E-4
-13.5,22.000007823,5.340297E-4
-13.5,25.000007823,4.721426E-4
-13.5,64.000007823,0.0031287337
-148.5,-16.999992177,0.001737192
-16.5,13.000007823,0.0019003861
-16.5,16.000007823,0.0013528952
-16.5,25.000007823,3.764865E-4
-16.5,28.000007823,0.0013158611
-16.5,34.000007823,0.0019189526
-16.5,67.000007823,0.0033078329
-160.5,4.000007823,0.0016809062
-169.5,52.000007823,0.0021393963
-172.5,61.000007823,0.030193888
-19.5,82.000007823,0.2003154
-22.5,16.000007823,3.5140917E-4
-22.5,76.000007823,0.113832
-25.5,70.000007823,0.020043265
-25.5,79.000007823,0.14809386
-28.5,40.000007823,0.001974421
-28.5,67.000007823,0.007476954
-31.5,67.000007823,0.007460463
-34.5,70.000007823,0.06301567
-34.5,73.000007823,0.082075946
-37.5,73.000007823,0.0
-4.5,22.000007823,9.658927E-4
-4.5,40.000007823,0.0038420316
-4.5,49.000007823,0.002209029
-40.5,-22.999992177,0.0018898725
-40.5,67.000007823,0.060237944
-40.5,70.000007823,0.0766333
-46.5,-16.999992177,0.00185474
-46.5,-19.999992177,0.001907777
-46.5,-7.999992177,0.0017359919
-46.5,64.000007823,0.05918733
-46.5,67.000007823,0.07645966
-46.5,73.000007823,0.0
-49.5,-13.999992177,0.0017591731
-49.5,73.000007823,0.071222626
-49.5,76.000007823,0.0
-52.5,-10.999992177,0.001767845
-52.5,-16.999992177,0.0018512885
-52.5,-22.999992177,0.0020541747
-52.5,1.000007823,0.0017184563
-55.5,-31.999992177,0.0025938381
-55.5,49.000007823,0.007283971
-58.5,-25.999992177,0.0024034115
-58.5,-28.999992177,0.002554375
-58.5,4.000007823,0.0017209986
-58.5,46.000007823,0.0063979486
-58.5,76.000007823,0.1279924
-61.5,-22.999992177,0.0024529733
-64.5,-13.999992177,0.0018254058
-64.5,-37.999992177,0.0035128347
-64.5,-4.999992177,0.0016954825
-64.5,-43.999992177,0.0017746047
-64.5,49.000007823,0.09670388
-67.5,-10.999992177,0.0017653172
